Input1,IMG1,Input2,IMG2,Gap,Situation,Note
2K,<img src='2K.png'></img>,5K,<img src='5K.png'></img>,8f,Ground Non-Gatling,
2K,<img src='2K.png'></img>,cS,<img src='cS.png'></img>,9f,Ground Non-Gatling,
2K,<img src='2K.png'></img>,fS,<img src='fS.png'></img>,11f,Ground Non-Gatling,
2K,<img src='2K.png'></img>,5H,<img src='5H.png'></img>,13f,Ground Non-Gatling,
2K,<img src='2K.png'></img>,2P,<img src='2P.png'></img>,7f,Ground Non-Gatling,
2K,<img src='2K.png'></img>,2K,<img src='2K.png'></img>,7f,Ground Non-Gatling,
2K,<img src='2K.png'></img>,2S,<img src='2S.png'></img>,12f,Ground Non-Gatling,
2K,<img src='2K.png'></img>,2H,<img src='2H.png'></img>,14f,Ground Non-Gatling,
2K,<img src='2K.png'></img>,jP,<img src='jP.png'></img>,11f,Ground Non-Jump Cancel,
2K,<img src='2K.png'></img>,jK,<img src='jK.png'></img>,12f,Ground Non-Jump Cancel,
2K,<img src='2K.png'></img>,jS,<img src='jS.png'></img>,15f,Ground Non-Jump Cancel,
2K,<img src='2K.png'></img>,jH,<img src='jH.png'></img>,14f,Ground Non-Jump Cancel,
2K,<img src='2K.png'></img>,jD,<img src='jD.png'></img>,14f,Ground Non-Jump Cancel,
2K,<img src='2K.png'></img>,6P,<img src='6P.png'></img>,0f,Ground Gatling,
2K,<img src='2K.png'></img>,6K,<img src='6K.png'></img>,11f,Ground Gatling,
2K,<img src='2K.png'></img>,6H,<img src='6H.png'></img>,8f,Ground Gatling,
2K,<img src='2K.png'></img>,j2K,<img src='j2K.png'></img>,22f,Ground Non-Jump Cancel,
2K,<img src='2K.png'></img>,2D,<img src='2D.png'></img>,1f,Ground Gatling,
2K,<img src='2K.png'></img>,5D,<img src='5D.png'></img>,11f,Ground Gatling,
2K,<img src='2K.png'></img>,5[D],<img src='5[D].png'></img>,19f,Ground Gatling,
2K,<img src='2K.png'></img>,236P,<img src='236P.png'></img>,20f,Ground Gatling,
2K,<img src='2K.png'></img>,j236P,<img src='j236P.png'></img>,35f,Ground Non-Jump Cancel,
2K,<img src='2K.png'></img>,236K,<img src='236K.png'></img>,18f,Ground Gatling,
2K,<img src='2K.png'></img>,j236K,<img src='j236K.png'></img>,38f,Ground Non-Jump Cancel,
2K,<img src='2K.png'></img>,623S,<img src='623S.png'></img>,0f,Ground Gatling,
2K,<img src='2K.png'></img>,j623S,<img src='j623S.png'></img>,15f,Ground Non-Jump Cancel,
2K,<img src='2K.png'></img>,236H,<img src='236H.png'></img>,16f,Ground Gatling,
2K,<img src='2K.png'></img>,236S,<img src='236S.png'></img>,4f,Ground Gatling,
2K,<img src='2K.png'></img>,236S-236S,<img src='236S-236S.png'></img>,10f,Ground Non-Gatling,
2K,<img src='2K.png'></img>,236S-236K,<img src='236S-236K.png'></img>,22f,Ground Non-Gatling,
2K,<img src='2K.png'></img>,63214S,<img src='63214S.png'></img>,18f,Ground Gatling,
2K,<img src='2K.png'></img>,j214P,<img src='j214P.png'></img>,28f,Ground Non-Jump Cancel,
2K,<img src='2K.png'></img>,236236P,<img src='236236P.png'></img>,-2f,Ground Gatling,
2K,<img src='2K.png'></img>,632146H,<img src='632146H.png'></img>,12f,Ground Gatling,
2K,<img src='2K.png'></img>,j632146H,<img src='j632146H.png'></img>,20f,Ground Non-Jump Cancel,
2S,<img src='2S.png'></img>,5P,<img src='5P.png'></img>,10f,Ground Non-Gatling,
2S,<img src='2S.png'></img>,5K,<img src='5K.png'></img>,13f,Ground Non-Gatling,
2S,<img src='2S.png'></img>,cS,<img src='cS.png'></img>,14f,Ground Non-Gatling,
2S,<img src='2S.png'></img>,fS,<img src='fS.png'></img>,16f,Ground Non-Gatling,
2S,<img src='2S.png'></img>,5H,<img src='5H.png'></img>,-2f,Ground Gatling,
2S,<img src='2S.png'></img>,2P,<img src='2P.png'></img>,12f,Ground Non-Gatling,
2S,<img src='2S.png'></img>,2K,<img src='2K.png'></img>,12f,Ground Non-Gatling,
2S,<img src='2S.png'></img>,2S,<img src='2S.png'></img>,17f,Ground Non-Gatling,
2S,<img src='2S.png'></img>,2H,<img src='2H.png'></img>,-1f,Ground Gatling,
2S,<img src='2S.png'></img>,jP,<img src='jP.png'></img>,16f,Ground Non-Jump Cancel,
2S,<img src='2S.png'></img>,jK,<img src='jK.png'></img>,17f,Ground Non-Jump Cancel,
2S,<img src='2S.png'></img>,jS,<img src='jS.png'></img>,20f,Ground Non-Jump Cancel,
2S,<img src='2S.png'></img>,jH,<img src='jH.png'></img>,19f,Ground Non-Jump Cancel,
2S,<img src='2S.png'></img>,jD,<img src='jD.png'></img>,19f,Ground Non-Jump Cancel,
2S,<img src='2S.png'></img>,6P,<img src='6P.png'></img>,16f,Ground Non-Gatling,
2S,<img src='2S.png'></img>,6K,<img src='6K.png'></img>,27f,Ground Non-Gatling,
2S,<img src='2S.png'></img>,6H,<img src='6H.png'></img>,24f,Ground Non-Gatling,
2S,<img src='2S.png'></img>,j2K,<img src='j2K.png'></img>,27f,Ground Non-Jump Cancel,
2S,<img src='2S.png'></img>,2D,<img src='2D.png'></img>,17f,Ground Non-Gatling,
2S,<img src='2S.png'></img>,5D,<img src='5D.png'></img>,27f,Ground Non-Gatling,
2S,<img src='2S.png'></img>,5[D],<img src='5[D].png'></img>,35f,Ground Non-Gatling,
2S,<img src='2S.png'></img>,236P,<img src='236P.png'></img>,16f,Ground Gatling,
2S,<img src='2S.png'></img>,j236P,<img src='j236P.png'></img>,40f,Ground Non-Jump Cancel,
2S,<img src='2S.png'></img>,236K,<img src='236K.png'></img>,14f,Ground Gatling,
2S,<img src='2S.png'></img>,j236K,<img src='j236K.png'></img>,43f,Ground Non-Jump Cancel,
2S,<img src='2S.png'></img>,623S,<img src='623S.png'></img>,-4f,Ground Gatling,
2S,<img src='2S.png'></img>,j623S,<img src='j623S.png'></img>,20f,Ground Non-Jump Cancel,
2S,<img src='2S.png'></img>,236H,<img src='236H.png'></img>,12f,Ground Gatling,
2S,<img src='2S.png'></img>,236S,<img src='236S.png'></img>,0f,Ground Gatling,
2S,<img src='2S.png'></img>,236S-236S,<img src='236S-236S.png'></img>,15f,Ground Non-Gatling,
2S,<img src='2S.png'></img>,236S-236K,<img src='236S-236K.png'></img>,27f,Ground Non-Gatling,
2S,<img src='2S.png'></img>,63214S,<img src='63214S.png'></img>,14f,Ground Gatling,
2S,<img src='2S.png'></img>,j214P,<img src='j214P.png'></img>,33f,Ground Non-Jump Cancel,
2S,<img src='2S.png'></img>,236236P,<img src='236236P.png'></img>,-6f,Ground Gatling,
2S,<img src='2S.png'></img>,632146H,<img src='632146H.png'></img>,8f,Ground Gatling,
2S,<img src='2S.png'></img>,j632146H,<img src='j632146H.png'></img>,25f,Ground Non-Jump Cancel,
2H,<img src='2H.png'></img>,5P,<img src='5P.png'></img>,17f,Ground Non-Gatling,
2H,<img src='2H.png'></img>,5K,<img src='5K.png'></img>,20f,Ground Non-Gatling,
2H,<img src='2H.png'></img>,cS,<img src='cS.png'></img>,21f,Ground Non-Gatling,
2H,<img src='2H.png'></img>,fS,<img src='fS.png'></img>,23f,Ground Non-Gatling,
2H,<img src='2H.png'></img>,5H,<img src='5H.png'></img>,25f,Ground Non-Gatling,
2H,<img src='2H.png'></img>,2P,<img src='2P.png'></img>,19f,Ground Non-Gatling,
2H,<img src='2H.png'></img>,2K,<img src='2K.png'></img>,19f,Ground Non-Gatling,
2H,<img src='2H.png'></img>,2S,<img src='2S.png'></img>,24f,Ground Non-Gatling,
2H,<img src='2H.png'></img>,2H,<img src='2H.png'></img>,26f,Ground Non-Gatling,
2H,<img src='2H.png'></img>,jP,<img src='jP.png'></img>,23f,Ground Non-Jump Cancel,
2H,<img src='2H.png'></img>,jK,<img src='jK.png'></img>,24f,Ground Non-Jump Cancel,
2H,<img src='2H.png'></img>,jS,<img src='jS.png'></img>,27f,Ground Non-Jump Cancel,
2H,<img src='2H.png'></img>,jH,<img src='jH.png'></img>,26f,Ground Non-Jump Cancel,
2H,<img src='2H.png'></img>,jD,<img src='jD.png'></img>,26f,Ground Non-Jump Cancel,
2H,<img src='2H.png'></img>,6P,<img src='6P.png'></img>,23f,Ground Non-Gatling,
2H,<img src='2H.png'></img>,6K,<img src='6K.png'></img>,34f,Ground Non-Gatling,
2H,<img src='2H.png'></img>,6H,<img src='6H.png'></img>,31f,Ground Non-Gatling,
2H,<img src='2H.png'></img>,j2K,<img src='j2K.png'></img>,34f,Ground Non-Jump Cancel,
2H,<img src='2H.png'></img>,2D,<img src='2D.png'></img>,24f,Ground Non-Gatling,
2H,<img src='2H.png'></img>,5D,<img src='5D.png'></img>,34f,Ground Non-Gatling,
2H,<img src='2H.png'></img>,5[D],<img src='5[D].png'></img>,42f,Ground Non-Gatling,
2H,<img src='2H.png'></img>,236P,<img src='236P.png'></img>,11f,Ground Gatling,
2H,<img src='2H.png'></img>,j236P,<img src='j236P.png'></img>,47f,Ground Non-Jump Cancel,
2H,<img src='2H.png'></img>,236K,<img src='236K.png'></img>,9f,Ground Gatling,
2H,<img src='2H.png'></img>,j236K,<img src='j236K.png'></img>,50f,Ground Non-Jump Cancel,
2H,<img src='2H.png'></img>,623S,<img src='623S.png'></img>,-9f,Ground Gatling,
2H,<img src='2H.png'></img>,j623S,<img src='j623S.png'></img>,27f,Ground Non-Jump Cancel,
2H,<img src='2H.png'></img>,236H,<img src='236H.png'></img>,7f,Ground Gatling,
2H,<img src='2H.png'></img>,236S,<img src='236S.png'></img>,-5f,Ground Gatling,
2H,<img src='2H.png'></img>,236S-236S,<img src='236S-236S.png'></img>,22f,Ground Non-Gatling,
2H,<img src='2H.png'></img>,236S-236K,<img src='236S-236K.png'></img>,34f,Ground Non-Gatling,
2H,<img src='2H.png'></img>,63214S,<img src='63214S.png'></img>,9f,Ground Gatling,
2H,<img src='2H.png'></img>,j214P,<img src='j214P.png'></img>,40f,Ground Non-Jump Cancel,
2H,<img src='2H.png'></img>,236236P,<img src='236236P.png'></img>,-11f,Ground Gatling,
2H,<img src='2H.png'></img>,632146H,<img src='632146H.png'></img>,3f,Ground Gatling,
2H,<img src='2H.png'></img>,j632146H,<img src='j632146H.png'></img>,32f,Ground Non-Jump Cancel,
2D,<img src='2D.png'></img>,5P,<img src='5P.png'></img>,10f,Ground Non-Gatling,
2D,<img src='2D.png'></img>,5K,<img src='5K.png'></img>,13f,Ground Non-Gatling,
2D,<img src='2D.png'></img>,cS,<img src='cS.png'></img>,14f,Ground Non-Gatling,
2D,<img src='2D.png'></img>,fS,<img src='fS.png'></img>,16f,Ground Non-Gatling,
2D,<img src='2D.png'></img>,5H,<img src='5H.png'></img>,18f,Ground Non-Gatling,
2D,<img src='2D.png'></img>,2P,<img src='2P.png'></img>,12f,Ground Non-Gatling,
2D,<img src='2D.png'></img>,2K,<img src='2K.png'></img>,12f,Ground Non-Gatling,
2D,<img src='2D.png'></img>,2S,<img src='2S.png'></img>,17f,Ground Non-Gatling,
2D,<img src='2D.png'></img>,2H,<img src='2H.png'></img>,19f,Ground Non-Gatling,
2D,<img src='2D.png'></img>,jP,<img src='jP.png'></img>,16f,Ground Non-Jump Cancel,
2D,<img src='2D.png'></img>,jK,<img src='jK.png'></img>,17f,Ground Non-Jump Cancel,
2D,<img src='2D.png'></img>,jS,<img src='jS.png'></img>,20f,Ground Non-Jump Cancel,
2D,<img src='2D.png'></img>,jH,<img src='jH.png'></img>,19f,Ground Non-Jump Cancel,
2D,<img src='2D.png'></img>,jD,<img src='jD.png'></img>,19f,Ground Non-Jump Cancel,
2D,<img src='2D.png'></img>,6P,<img src='6P.png'></img>,16f,Ground Non-Gatling,
2D,<img src='2D.png'></img>,6K,<img src='6K.png'></img>,27f,Ground Non-Gatling,
2D,<img src='2D.png'></img>,6H,<img src='6H.png'></img>,24f,Ground Non-Gatling,
2D,<img src='2D.png'></img>,j2K,<img src='j2K.png'></img>,27f,Ground Non-Jump Cancel,
2D,<img src='2D.png'></img>,2D,<img src='2D.png'></img>,17f,Ground Non-Gatling,
2D,<img src='2D.png'></img>,5D,<img src='5D.png'></img>,27f,Ground Non-Gatling,
2D,<img src='2D.png'></img>,5[D],<img src='5[D].png'></img>,35f,Ground Non-Gatling,
2D,<img src='2D.png'></img>,236P,<img src='236P.png'></img>,16f,Ground Gatling,
2D,<img src='2D.png'></img>,j236P,<img src='j236P.png'></img>,40f,Ground Non-Jump Cancel,
2D,<img src='2D.png'></img>,236K,<img src='236K.png'></img>,14f,Ground Gatling,
2D,<img src='2D.png'></img>,j236K,<img src='j236K.png'></img>,43f,Ground Non-Jump Cancel,
2D,<img src='2D.png'></img>,623S,<img src='623S.png'></img>,-4f,Ground Gatling,
2D,<img src='2D.png'></img>,j623S,<img src='j623S.png'></img>,20f,Ground Non-Jump Cancel,
2D,<img src='2D.png'></img>,236H,<img src='236H.png'></img>,12f,Ground Gatling,
2D,<img src='2D.png'></img>,236S,<img src='236S.png'></img>,0f,Ground Gatling,
2D,<img src='2D.png'></img>,236S-236S,<img src='236S-236S.png'></img>,15f,Ground Non-Gatling,
2D,<img src='2D.png'></img>,236S-236K,<img src='236S-236K.png'></img>,27f,Ground Non-Gatling,
2D,<img src='2D.png'></img>,63214S,<img src='63214S.png'></img>,14f,Ground Gatling,
2D,<img src='2D.png'></img>,j214P,<img src='j214P.png'></img>,33f,Ground Non-Jump Cancel,
2D,<img src='2D.png'></img>,236236P,<img src='236236P.png'></img>,-6f,Ground Gatling,
2D,<img src='2D.png'></img>,632146H,<img src='632146H.png'></img>,8f,Ground Gatling,
2D,<img src='2D.png'></img>,j632146H,<img src='j632146H.png'></img>,25f,Ground Non-Jump Cancel,
6P,<img src='6P.png'></img>,5P,<img src='5P.png'></img>,19f,Ground Non-Gatling,
6P,<img src='6P.png'></img>,5K,<img src='5K.png'></img>,22f,Ground Non-Gatling,
6P,<img src='6P.png'></img>,cS,<img src='cS.png'></img>,23f,Ground Non-Gatling,
6P,<img src='6P.png'></img>,fS,<img src='fS.png'></img>,25f,Ground Non-Gatling,
6P,<img src='6P.png'></img>,5H,<img src='5H.png'></img>,27f,Ground Non-Gatling,
6P,<img src='6P.png'></img>,2P,<img src='2P.png'></img>,21f,Ground Non-Gatling,
6P,<img src='6P.png'></img>,2K,<img src='2K.png'></img>,21f,Ground Non-Gatling,
6P,<img src='6P.png'></img>,2S,<img src='2S.png'></img>,26f,Ground Non-Gatling,
6P,<img src='6P.png'></img>,2H,<img src='2H.png'></img>,28f,Ground Non-Gatling,
6P,<img src='6P.png'></img>,jP,<img src='jP.png'></img>,25f,Ground Non-Jump Cancel,
6P,<img src='6P.png'></img>,jK,<img src='jK.png'></img>,26f,Ground Non-Jump Cancel,
6P,<img src='6P.png'></img>,jS,<img src='jS.png'></img>,29f,Ground Non-Jump Cancel,
6P,<img src='6P.png'></img>,jH,<img src='jH.png'></img>,28f,Ground Non-Jump Cancel,
6P,<img src='6P.png'></img>,jD,<img src='jD.png'></img>,28f,Ground Non-Jump Cancel,
6P,<img src='6P.png'></img>,6P,<img src='6P.png'></img>,25f,Ground Non-Gatling,
6P,<img src='6P.png'></img>,6K,<img src='6K.png'></img>,36f,Ground Non-Gatling,
6P,<img src='6P.png'></img>,6H,<img src='6H.png'></img>,33f,Ground Non-Gatling,
6P,<img src='6P.png'></img>,j2K,<img src='j2K.png'></img>,36f,Ground Non-Jump Cancel,
6P,<img src='6P.png'></img>,2D,<img src='2D.png'></img>,26f,Ground Non-Gatling,
6P,<img src='6P.png'></img>,5D,<img src='5D.png'></img>,36f,Ground Non-Gatling,
6P,<img src='6P.png'></img>,5[D],<img src='5[D].png'></img>,44f,Ground Non-Gatling,
6P,<img src='6P.png'></img>,236P,<img src='236P.png'></img>,13f,Ground Gatling,
6P,<img src='6P.png'></img>,j236P,<img src='j236P.png'></img>,49f,Ground Non-Jump Cancel,
6P,<img src='6P.png'></img>,236K,<img src='236K.png'></img>,11f,Ground Gatling,
6P,<img src='6P.png'></img>,j236K,<img src='j236K.png'></img>,52f,Ground Non-Jump Cancel,
6P,<img src='6P.png'></img>,623S,<img src='623S.png'></img>,-7f,Ground Gatling,
6P,<img src='6P.png'></img>,j623S,<img src='j623S.png'></img>,29f,Ground Non-Jump Cancel,
6P,<img src='6P.png'></img>,236H,<img src='236H.png'></img>,9f,Ground Gatling,
6P,<img src='6P.png'></img>,236S,<img src='236S.png'></img>,-3f,Ground Gatling,
6P,<img src='6P.png'></img>,236S-236S,<img src='236S-236S.png'></img>,24f,Ground Non-Gatling,
6P,<img src='6P.png'></img>,236S-236K,<img src='236S-236K.png'></img>,36f,Ground Non-Gatling,
6P,<img src='6P.png'></img>,63214S,<img src='63214S.png'></img>,11f,Ground Gatling,
6P,<img src='6P.png'></img>,j214P,<img src='j214P.png'></img>,42f,Ground Non-Jump Cancel,
6P,<img src='6P.png'></img>,236236P,<img src='236236P.png'></img>,-9f,Ground Gatling,
6P,<img src='6P.png'></img>,632146H,<img src='632146H.png'></img>,5f,Ground Gatling,
6P,<img src='6P.png'></img>,j632146H,<img src='j632146H.png'></img>,34f,Ground Non-Jump Cancel,
6K,<img src='6K.png'></img>,5P,<img src='5P.png'></img>,5f,Ground Non-Gatling,
6K,<img src='6K.png'></img>,5K,<img src='5K.png'></img>,8f,Ground Non-Gatling,
6K,<img src='6K.png'></img>,cS,<img src='cS.png'></img>,9f,Ground Non-Gatling,
6K,<img src='6K.png'></img>,fS,<img src='fS.png'></img>,11f,Ground Non-Gatling,
6K,<img src='6K.png'></img>,5H,<img src='5H.png'></img>,13f,Ground Non-Gatling,
6K,<img src='6K.png'></img>,2P,<img src='2P.png'></img>,7f,Ground Non-Gatling,
6K,<img src='6K.png'></img>,2K,<img src='2K.png'></img>,7f,Ground Non-Gatling,
6K,<img src='6K.png'></img>,2S,<img src='2S.png'></img>,12f,Ground Non-Gatling,
6K,<img src='6K.png'></img>,2H,<img src='2H.png'></img>,14f,Ground Non-Gatling,
6K,<img src='6K.png'></img>,jP,<img src='jP.png'></img>,11f,Ground Non-Jump Cancel,
6K,<img src='6K.png'></img>,jK,<img src='jK.png'></img>,12f,Ground Non-Jump Cancel,
6K,<img src='6K.png'></img>,jS,<img src='jS.png'></img>,15f,Ground Non-Jump Cancel,
6K,<img src='6K.png'></img>,jH,<img src='jH.png'></img>,14f,Ground Non-Jump Cancel,
6K,<img src='6K.png'></img>,jD,<img src='jD.png'></img>,14f,Ground Non-Jump Cancel,
6K,<img src='6K.png'></img>,6P,<img src='6P.png'></img>,11f,Ground Non-Gatling,
6K,<img src='6K.png'></img>,6K,<img src='6K.png'></img>,22f,Ground Non-Gatling,
6K,<img src='6K.png'></img>,6H,<img src='6H.png'></img>,19f,Ground Non-Gatling,
6K,<img src='6K.png'></img>,j2K,<img src='j2K.png'></img>,22f,Ground Non-Jump Cancel,
6K,<img src='6K.png'></img>,2D,<img src='2D.png'></img>,12f,Ground Non-Gatling,
6K,<img src='6K.png'></img>,5D,<img src='5D.png'></img>,22f,Ground Non-Gatling,
6K,<img src='6K.png'></img>,5[D],<img src='5[D].png'></img>,30f,Ground Non-Gatling,
6K,<img src='6K.png'></img>,236P,<img src='236P.png'></img>,31f,Ground Non-Gatling,
6K,<img src='6K.png'></img>,j236P,<img src='j236P.png'></img>,35f,Ground Non-Jump Cancel,
6K,<img src='6K.png'></img>,236K,<img src='236K.png'></img>,29f,Ground Non-Gatling,
6K,<img src='6K.png'></img>,j236K,<img src='j236K.png'></img>,38f,Ground Non-Jump Cancel,
6K,<img src='6K.png'></img>,623S,<img src='623S.png'></img>,11f,Ground Non-Gatling,
6K,<img src='6K.png'></img>,j623S,<img src='j623S.png'></img>,15f,Ground Non-Jump Cancel,
6K,<img src='6K.png'></img>,236H,<img src='236H.png'></img>,27f,Ground Non-Gatling,
6K,<img src='6K.png'></img>,236S,<img src='236S.png'></img>,15f,Ground Non-Gatling,
6K,<img src='6K.png'></img>,236S-236S,<img src='236S-236S.png'></img>,10f,Ground Non-Gatling,
6K,<img src='6K.png'></img>,236S-236K,<img src='236S-236K.png'></img>,22f,Ground Non-Gatling,
6K,<img src='6K.png'></img>,63214S,<img src='63214S.png'></img>,29f,Ground Non-Gatling,
6K,<img src='6K.png'></img>,j214P,<img src='j214P.png'></img>,28f,Ground Non-Jump Cancel,
6K,<img src='6K.png'></img>,236236P,<img src='236236P.png'></img>,9f,Ground Non-Gatling,
6K,<img src='6K.png'></img>,632146H,<img src='632146H.png'></img>,23f,Ground Non-Gatling,
6K,<img src='6K.png'></img>,j632146H,<img src='j632146H.png'></img>,20f,Ground Non-Jump Cancel,
6H,<img src='6H.png'></img>,5P,<img src='5P.png'></img>,8f,Ground Non-Gatling,
6H,<img src='6H.png'></img>,5K,<img src='5K.png'></img>,11f,Ground Non-Gatling,
6H,<img src='6H.png'></img>,cS,<img src='cS.png'></img>,12f,Ground Non-Gatling,
6H,<img src='6H.png'></img>,fS,<img src='fS.png'></img>,14f,Ground Non-Gatling,
6H,<img src='6H.png'></img>,5H,<img src='5H.png'></img>,16f,Ground Non-Gatling,
6H,<img src='6H.png'></img>,2P,<img src='2P.png'></img>,10f,Ground Non-Gatling,
6H,<img src='6H.png'></img>,2K,<img src='2K.png'></img>,10f,Ground Non-Gatling,
6H,<img src='6H.png'></img>,2S,<img src='2S.png'></img>,15f,Ground Non-Gatling,
6H,<img src='6H.png'></img>,2H,<img src='2H.png'></img>,17f,Ground Non-Gatling,
6H,<img src='6H.png'></img>,jP,<img src='jP.png'></img>,14f,Ground Non-Jump Cancel,
6H,<img src='6H.png'></img>,jK,<img src='jK.png'></img>,15f,Ground Non-Jump Cancel,
6H,<img src='6H.png'></img>,jS,<img src='jS.png'></img>,18f,Ground Non-Jump Cancel,
6H,<img src='6H.png'></img>,jH,<img src='jH.png'></img>,17f,Ground Non-Jump Cancel,
6H,<img src='6H.png'></img>,jD,<img src='jD.png'></img>,17f,Ground Non-Jump Cancel,
6H,<img src='6H.png'></img>,6P,<img src='6P.png'></img>,14f,Ground Non-Gatling,
6H,<img src='6H.png'></img>,6K,<img src='6K.png'></img>,25f,Ground Non-Gatling,
6H,<img src='6H.png'></img>,6H,<img src='6H.png'></img>,22f,Ground Non-Gatling,
6H,<img src='6H.png'></img>,j2K,<img src='j2K.png'></img>,25f,Ground Non-Jump Cancel,
6H,<img src='6H.png'></img>,2D,<img src='2D.png'></img>,15f,Ground Non-Gatling,
6H,<img src='6H.png'></img>,5D,<img src='5D.png'></img>,25f,Ground Non-Gatling,
6H,<img src='6H.png'></img>,5[D],<img src='5[D].png'></img>,33f,Ground Non-Gatling,
6H,<img src='6H.png'></img>,236P,<img src='236P.png'></img>,11f,Ground Gatling,
6H,<img src='6H.png'></img>,j236P,<img src='j236P.png'></img>,38f,Ground Non-Jump Cancel,
6H,<img src='6H.png'></img>,236K,<img src='236K.png'></img>,9f,Ground Gatling,
6H,<img src='6H.png'></img>,j236K,<img src='j236K.png'></img>,41f,Ground Non-Jump Cancel,
6H,<img src='6H.png'></img>,623S,<img src='623S.png'></img>,-9f,Ground Gatling,
6H,<img src='6H.png'></img>,j623S,<img src='j623S.png'></img>,18f,Ground Non-Jump Cancel,
6H,<img src='6H.png'></img>,236H,<img src='236H.png'></img>,7f,Ground Gatling,
6H,<img src='6H.png'></img>,236S,<img src='236S.png'></img>,-5f,Ground Gatling,
6H,<img src='6H.png'></img>,236S-236S,<img src='236S-236S.png'></img>,13f,Ground Non-Gatling,
6H,<img src='6H.png'></img>,236S-236K,<img src='236S-236K.png'></img>,25f,Ground Non-Gatling,
6H,<img src='6H.png'></img>,63214S,<img src='63214S.png'></img>,9f,Ground Gatling,
6H,<img src='6H.png'></img>,j214P,<img src='j214P.png'></img>,31f,Ground Non-Jump Cancel,
6H,<img src='6H.png'></img>,236236P,<img src='236236P.png'></img>,-11f,Ground Gatling,
6H,<img src='6H.png'></img>,632146H,<img src='632146H.png'></img>,3f,Ground Gatling,
6H,<img src='6H.png'></img>,j632146H,<img src='j632146H.png'></img>,23f,Ground Non-Jump Cancel,
jP,<img src='jP.png'></img>,5P,<img src='5P.png'></img>,-6f,Jump-in,
jP,<img src='jP.png'></img>,5K,<img src='5K.png'></img>,-3f,Jump-in,
jP,<img src='jP.png'></img>,cS,<img src='cS.png'></img>,-2f,Jump-in,
jP,<img src='jP.png'></img>,fS,<img src='fS.png'></img>,0f,Jump-in,
jP,<img src='jP.png'></img>,5H,<img src='5H.png'></img>,2f,Jump-in,
jP,<img src='jP.png'></img>,2P,<img src='2P.png'></img>,-4f,Jump-in,
jP,<img src='jP.png'></img>,2K,<img src='2K.png'></img>,-4f,Jump-in,
jP,<img src='jP.png'></img>,2S,<img src='2S.png'></img>,1f,Jump-in,
jP,<img src='jP.png'></img>,2H,<img src='2H.png'></img>,3f,Jump-in,
jP,<img src='jP.png'></img>,jP,<img src='jP.png'></img>,-4f,Air Gatling,
jP,<img src='jP.png'></img>,jK,<img src='jK.png'></img>,9f,Air Non-Gatling,
jP,<img src='jP.png'></img>,jS,<img src='jS.png'></img>,12f,Air Non-Gatling,
jP,<img src='jP.png'></img>,jH,<img src='jH.png'></img>,11f,Air Non-Gatling,
jP,<img src='jP.png'></img>,jD,<img src='jD.png'></img>,11f,Air Non-Gatling,
jP,<img src='jP.png'></img>,6P,<img src='6P.png'></img>,0f,Jump-in,
jP,<img src='jP.png'></img>,6K,<img src='6K.png'></img>,11f,Jump-in,
jP,<img src='jP.png'></img>,6H,<img src='6H.png'></img>,8f,Jump-in,
jP,<img src='jP.png'></img>,j2K,<img src='j2K.png'></img>,7f,Air Gatling,
jP,<img src='jP.png'></img>,2D,<img src='2D.png'></img>,1f,Jump-in,
jP,<img src='jP.png'></img>,5D,<img src='5D.png'></img>,11f,Jump-in,
jP,<img src='jP.png'></img>,5[D],<img src='5[D].png'></img>,19f,Jump-in,
jP,<img src='jP.png'></img>,236P,<img src='236P.png'></img>,20f,Jump-in,
jP,<img src='jP.png'></img>,j236P,<img src='j236P.png'></img>,20f,Air Gatling,
jP,<img src='jP.png'></img>,236K,<img src='236K.png'></img>,18f,Jump-in,
jP,<img src='jP.png'></img>,j236K,<img src='j236K.png'></img>,23f,Air Gatling,
jP,<img src='jP.png'></img>,623S,<img src='623S.png'></img>,0f,Jump-in,
jP,<img src='jP.png'></img>,j623S,<img src='j623S.png'></img>,0f,Air Gatling,
jP,<img src='jP.png'></img>,236H,<img src='236H.png'></img>,16f,Jump-in,
jP,<img src='jP.png'></img>,236S,<img src='236S.png'></img>,4f,Jump-in,
jP,<img src='jP.png'></img>,236S-236S,<img src='236S-236S.png'></img>,-1f,Jump-in,
jP,<img src='jP.png'></img>,236S-236K,<img src='236S-236K.png'></img>,11f,Jump-in,
jP,<img src='jP.png'></img>,63214S,<img src='63214S.png'></img>,18f,Jump-in,
jP,<img src='jP.png'></img>,j214P,<img src='j214P.png'></img>,13f,Air Gatling,
jP,<img src='jP.png'></img>,236236P,<img src='236236P.png'></img>,-2f,Jump-in,
jP,<img src='jP.png'></img>,632146H,<img src='632146H.png'></img>,12f,Jump-in,
jP,<img src='jP.png'></img>,j632146H,<img src='j632146H.png'></img>,5f,Air Gatling,
jK,<img src='jK.png'></img>,5P,<img src='5P.png'></img>,-8f,Jump-in,
jK,<img src='jK.png'></img>,5K,<img src='5K.png'></img>,-5f,Jump-in,
jK,<img src='jK.png'></img>,cS,<img src='cS.png'></img>,-4f,Jump-in,
jK,<img src='jK.png'></img>,fS,<img src='fS.png'></img>,-2f,Jump-in,
jK,<img src='jK.png'></img>,5H,<img src='5H.png'></img>,0f,Jump-in,
jK,<img src='jK.png'></img>,2P,<img src='2P.png'></img>,-6f,Jump-in,
