Input1,IMG1,Input2,IMG2,Gap,Situation,Note
6P,<img src='6P.png'></img>,5D,<img src='5D.png'></img>,28f,Ground Non-Gatling,nan <br> 
6P,<img src='6P.png'></img>,5[D],<img src='5[D].png'></img>,36f,Ground Non-Gatling,nan <br> 
6P,<img src='6P.png'></img>,236S,<img src='236S.png'></img>,0f,Ground Gatling,nan <br> 
6P,<img src='6P.png'></img>,DI-236S,<img src='DI-236S.png'></img>,0f,Ground Gatling,nan <br> 
6P,<img src='6P.png'></img>,236H,<img src='236H.png'></img>,26f,Ground Gatling,nan <br> 
6P,<img src='6P.png'></img>,SS-236H,<img src='SS-236H.png'></img>,26f,Ground Gatling,nan <br> 
6P,<img src='6P.png'></img>,DI-236H,<img src='DI-236H.png'></img>,47f,Ground Non-Gatling,nan <br> 
6P,<img src='6P.png'></img>,j236S,<img src='j236S.png'></img>,33f,Ground Non-Jump Cancel,nan <br> 
6P,<img src='6P.png'></img>,j236H,<img src='j236H.png'></img>,33f,Ground Non-Jump Cancel,nan <br> 
6P,<img src='6P.png'></img>,623S,<img src='623S.png'></img>,-2f,Ground Gatling,nan <br> 
6P,<img src='6P.png'></img>,DI-623S,<img src='DI-623S.png'></img>,-2f,Ground Gatling,nan <br> 
6P,<img src='6P.png'></img>,623H,<img src='623H.png'></img>,0f,Ground Gatling,nan <br> 
6P,<img src='6P.png'></img>,DI-623H,<img src='DI-623H.png'></img>,0f,Ground Gatling,nan <br> 
6P,<img src='6P.png'></img>,j623S,<img src='j623S.png'></img>,23f,Ground Non-Jump Cancel,nan <br> 
6P,<img src='6P.png'></img>,j623H,<img src='j623H.png'></img>,25f,Ground Non-Jump Cancel,nan <br> 
6P,<img src='6P.png'></img>,236K,<img src='236K.png'></img>,13f,Ground Non-Gatling,nan <br> 
6P,<img src='6P.png'></img>,SS-236K,<img src='SS-236K.png'></img>,-8f,Ground Gatling,nan <br> 
6P,<img src='6P.png'></img>,DI-236K,<img src='DI-236K.png'></img>,-8f,Ground Gatling,nan <br> 
6P,<img src='6P.png'></img>,214K,<img src='214K.png'></img>,11f,Ground Gatling,The gap is +2f bigger when crouching <br> 
6P,<img src='6P.png'></img>,SS-214K,<img src='SS-214K.png'></img>,11f,Ground Gatling,The gap is +2f bigger when crouching <br> 
6P,<img src='6P.png'></img>,DI-214K,<img src='DI-214K.png'></img>,11f,Ground Gatling,The gap is +2f bigger when crouching <br> 
6P,<img src='6P.png'></img>,214S,<img src='214S.png'></img>,1f,Ground Gatling,nan <br> 
6P,<img src='6P.png'></img>,SS-214S,<img src='SS-214S.png'></img>,1f,Ground Gatling,nan <br> 
6P,<img src='6P.png'></img>,DI-214S,<img src='DI-214S.png'></img>,1f,Ground Gatling,nan <br> 
6P,<img src='6P.png'></img>,632146H,<img src='632146H.png'></img>,-4f,Ground Gatling,nan <br> 
6P,<img src='6P.png'></img>,DI-632146H,<img src='DI-632146H.png'></img>,-4f,Ground Gatling,nan <br> 
6P,<img src='6P.png'></img>,j632146H,<img src='j632146H.png'></img>,21f,Ground Non-Jump Cancel,nan <br> 
6P,<img src='6P.png'></img>,236236P,<img src='236236P.png'></img>,-6f,Ground Gatling,nan <br> 
6P,<img src='6P.png'></img>,SS-236236P,<img src='SS-236236P.png'></img>,-6f,Ground Gatling,nan <br> 
6P,<img src='6P.png'></img>,DI-236236P,<img src='DI-236236P.png'></img>,-6f,Ground Gatling,nan <br> 
6P,<img src='6P.png'></img>,214214H,<img src='214214H.png'></img>,-1f,Ground Gatling,nan <br> 
6K,<img src='6K.png'></img>,5P,<img src='5P.png'></img>,1f,Ground Non-Gatling,nan <br> 
6K,<img src='6K.png'></img>,5K,<img src='5K.png'></img>,3f,Ground Non-Gatling,nan <br> 
6K,<img src='6K.png'></img>,cS,<img src='cS.png'></img>,3f,Ground Non-Gatling,nan <br> 
6K,<img src='6K.png'></img>,fS,<img src='fS.png'></img>,8f,Ground Non-Gatling,nan <br> 
6K,<img src='6K.png'></img>,5H,<img src='5H.png'></img>,10f,Ground Non-Gatling,nan <br> 
6K,<img src='6K.png'></img>,2P,<img src='2P.png'></img>,1f,Ground Non-Gatling,nan <br> 
6K,<img src='6K.png'></img>,2K,<img src='2K.png'></img>,2f,Ground Non-Gatling,nan <br> 
6K,<img src='6K.png'></img>,2S,<img src='2S.png'></img>,6f,Ground Non-Gatling,nan <br> 
6K,<img src='6K.png'></img>,2H,<img src='2H.png'></img>,7f,Ground Non-Gatling,nan <br> 
6K,<img src='6K.png'></img>,jP,<img src='jP.png'></img>,6f,Ground Non-Jump Cancel,nan <br> 
6K,<img src='6K.png'></img>,jK,<img src='jK.png'></img>,7f,Ground Non-Jump Cancel,nan <br> 
6K,<img src='6K.png'></img>,jS,<img src='jS.png'></img>,7f,Ground Non-Jump Cancel,nan <br> 
6K,<img src='6K.png'></img>,jH,<img src='jH.png'></img>,13f,Ground Non-Jump Cancel,nan <br> 
6K,<img src='6K.png'></img>,jD,<img src='jD.png'></img>,13f,Ground Non-Jump Cancel,nan <br> 
6K,<img src='6K.png'></img>,6P,<img src='6P.png'></img>,5f,Ground Non-Gatling,nan <br> 
6K,<img src='6K.png'></img>,6K,<img src='6K.png'></img>,21f,Ground Non-Gatling,nan <br> 
6K,<img src='6K.png'></img>,6H,<img src='6H.png'></img>,11f,Ground Non-Gatling,nan <br> 
6K,<img src='6K.png'></img>,2D,<img src='2D.png'></img>,6f,Ground Non-Gatling,nan <br> 
6K,<img src='6K.png'></img>,5D,<img src='5D.png'></img>,16f,Ground Non-Gatling,nan <br> 
6K,<img src='6K.png'></img>,5[D],<img src='5[D].png'></img>,24f,Ground Non-Gatling,nan <br> 
6K,<img src='6K.png'></img>,236S,<img src='236S.png'></img>,-3f,Ground Gatling,nan <br> 
6K,<img src='6K.png'></img>,DI-236S,<img src='DI-236S.png'></img>,-3f,Ground Gatling,nan <br> 
6K,<img src='6K.png'></img>,236H,<img src='236H.png'></img>,23f,Ground Gatling,nan <br> 
6K,<img src='6K.png'></img>,SS-236H,<img src='SS-236H.png'></img>,23f,Ground Gatling,nan <br> 
6K,<img src='6K.png'></img>,DI-236H,<img src='DI-236H.png'></img>,35f,Ground Non-Gatling,nan <br> 
6K,<img src='6K.png'></img>,j236S,<img src='j236S.png'></img>,21f,Ground Non-Jump Cancel,nan <br> 
6K,<img src='6K.png'></img>,j236H,<img src='j236H.png'></img>,21f,Ground Non-Jump Cancel,nan <br> 
6K,<img src='6K.png'></img>,623S,<img src='623S.png'></img>,-5f,Ground Gatling,nan <br> 
6K,<img src='6K.png'></img>,DI-623S,<img src='DI-623S.png'></img>,-5f,Ground Gatling,nan <br> 
6K,<img src='6K.png'></img>,623H,<img src='623H.png'></img>,-3f,Ground Gatling,nan <br> 
6K,<img src='6K.png'></img>,DI-623H,<img src='DI-623H.png'></img>,-3f,Ground Gatling,nan <br> 
6K,<img src='6K.png'></img>,j623S,<img src='j623S.png'></img>,11f,Ground Non-Jump Cancel,nan <br> 
6K,<img src='6K.png'></img>,j623H,<img src='j623H.png'></img>,13f,Ground Non-Jump Cancel,nan <br> 
6K,<img src='6K.png'></img>,236K,<img src='236K.png'></img>,1f,Ground Non-Gatling,nan <br> 
6K,<img src='6K.png'></img>,SS-236K,<img src='SS-236K.png'></img>,-11f,Ground Gatling,nan <br> 
6K,<img src='6K.png'></img>,DI-236K,<img src='DI-236K.png'></img>,-11f,Ground Gatling,nan <br> 
6K,<img src='6K.png'></img>,214K,<img src='214K.png'></img>,8f,Ground Gatling,The gap is +2f bigger when crouching <br> 
6K,<img src='6K.png'></img>,SS-214K,<img src='SS-214K.png'></img>,8f,Ground Gatling,The gap is +2f bigger when crouching <br> 
6K,<img src='6K.png'></img>,DI-214K,<img src='DI-214K.png'></img>,8f,Ground Gatling,The gap is +2f bigger when crouching <br> 
6K,<img src='6K.png'></img>,214S,<img src='214S.png'></img>,-2f,Ground Gatling,nan <br> 
6K,<img src='6K.png'></img>,SS-214S,<img src='SS-214S.png'></img>,-2f,Ground Gatling,nan <br> 
6K,<img src='6K.png'></img>,DI-214S,<img src='DI-214S.png'></img>,-2f,Ground Gatling,nan <br> 
6K,<img src='6K.png'></img>,632146H,<img src='632146H.png'></img>,-7f,Ground Gatling,nan <br> 
6K,<img src='6K.png'></img>,DI-632146H,<img src='DI-632146H.png'></img>,-7f,Ground Gatling,nan <br> 
6K,<img src='6K.png'></img>,j632146H,<img src='j632146H.png'></img>,9f,Ground Non-Jump Cancel,nan <br> 
6K,<img src='6K.png'></img>,236236P,<img src='236236P.png'></img>,-9f,Ground Gatling,nan <br> 
6K,<img src='6K.png'></img>,SS-236236P,<img src='SS-236236P.png'></img>,-9f,Ground Gatling,nan <br> 
6K,<img src='6K.png'></img>,DI-236236P,<img src='DI-236236P.png'></img>,-9f,Ground Gatling,nan <br> 
6K,<img src='6K.png'></img>,214214H,<img src='214214H.png'></img>,-4f,Ground Gatling,nan <br> 
6H,<img src='6H.png'></img>,5P,<img src='5P.png'></img>,12f,Ground Non-Gatling,nan <br> 
6H,<img src='6H.png'></img>,5K,<img src='5K.png'></img>,14f,Ground Non-Gatling,nan <br> 
6H,<img src='6H.png'></img>,cS,<img src='cS.png'></img>,14f,Ground Non-Gatling,nan <br> 
6H,<img src='6H.png'></img>,fS,<img src='fS.png'></img>,19f,Ground Non-Gatling,nan <br> 
6H,<img src='6H.png'></img>,5H,<img src='5H.png'></img>,21f,Ground Non-Gatling,nan <br> 
6H,<img src='6H.png'></img>,2P,<img src='2P.png'></img>,12f,Ground Non-Gatling,nan <br> 
6H,<img src='6H.png'></img>,2K,<img src='2K.png'></img>,13f,Ground Non-Gatling,nan <br> 
6H,<img src='6H.png'></img>,2S,<img src='2S.png'></img>,17f,Ground Non-Gatling,nan <br> 
6H,<img src='6H.png'></img>,2H,<img src='2H.png'></img>,18f,Ground Non-Gatling,nan <br> 
6H,<img src='6H.png'></img>,jP,<img src='jP.png'></img>,17f,Ground Non-Jump Cancel,nan <br> 
6H,<img src='6H.png'></img>,jK,<img src='jK.png'></img>,18f,Ground Non-Jump Cancel,nan <br> 
6H,<img src='6H.png'></img>,jS,<img src='jS.png'></img>,18f,Ground Non-Jump Cancel,nan <br> 
6H,<img src='6H.png'></img>,jH,<img src='jH.png'></img>,24f,Ground Non-Jump Cancel,nan <br> 
6H,<img src='6H.png'></img>,jD,<img src='jD.png'></img>,24f,Ground Non-Jump Cancel,nan <br> 
6H,<img src='6H.png'></img>,6P,<img src='6P.png'></img>,16f,Ground Non-Gatling,nan <br> 
6H,<img src='6H.png'></img>,6K,<img src='6K.png'></img>,32f,Ground Non-Gatling,nan <br> 
6H,<img src='6H.png'></img>,6H,<img src='6H.png'></img>,22f,Ground Non-Gatling,nan <br> 
6H,<img src='6H.png'></img>,2D,<img src='2D.png'></img>,17f,Ground Non-Gatling,nan <br> 
6H,<img src='6H.png'></img>,5D,<img src='5D.png'></img>,27f,Ground Non-Gatling,nan <br> 
6H,<img src='6H.png'></img>,5[D],<img src='5[D].png'></img>,35f,Ground Non-Gatling,nan <br> 
6H,<img src='6H.png'></img>,236S,<img src='236S.png'></img>,-3f,Ground Gatling,nan <br> 
6H,<img src='6H.png'></img>,DI-236S,<img src='DI-236S.png'></img>,-3f,Ground Gatling,nan <br> 
6H,<img src='6H.png'></img>,236H,<img src='236H.png'></img>,23f,Ground Gatling,nan <br> 
6H,<img src='6H.png'></img>,SS-236H,<img src='SS-236H.png'></img>,23f,Ground Gatling,nan <br> 
6H,<img src='6H.png'></img>,DI-236H,<img src='DI-236H.png'></img>,46f,Ground Non-Gatling,nan <br> 
6H,<img src='6H.png'></img>,j236S,<img src='j236S.png'></img>,32f,Ground Non-Jump Cancel,nan <br> 
6H,<img src='6H.png'></img>,j236H,<img src='j236H.png'></img>,32f,Ground Non-Jump Cancel,nan <br> 
6H,<img src='6H.png'></img>,623S,<img src='623S.png'></img>,-5f,Ground Gatling,nan <br> 
6H,<img src='6H.png'></img>,DI-623S,<img src='DI-623S.png'></img>,-5f,Ground Gatling,nan <br> 
6H,<img src='6H.png'></img>,623H,<img src='623H.png'></img>,-3f,Ground Gatling,nan <br> 
6H,<img src='6H.png'></img>,DI-623H,<img src='DI-623H.png'></img>,-3f,Ground Gatling,nan <br> 
6H,<img src='6H.png'></img>,j623S,<img src='j623S.png'></img>,22f,Ground Non-Jump Cancel,nan <br> 
6H,<img src='6H.png'></img>,j623H,<img src='j623H.png'></img>,24f,Ground Non-Jump Cancel,nan <br> 
6H,<img src='6H.png'></img>,236K,<img src='236K.png'></img>,12f,Ground Non-Gatling,nan <br> 
6H,<img src='6H.png'></img>,SS-236K,<img src='SS-236K.png'></img>,-11f,Ground Gatling,nan <br> 
6H,<img src='6H.png'></img>,DI-236K,<img src='DI-236K.png'></img>,-11f,Ground Gatling,nan <br> 
6H,<img src='6H.png'></img>,214K,<img src='214K.png'></img>,8f,Ground Gatling,The gap is +2f bigger when crouching <br> 
6H,<img src='6H.png'></img>,SS-214K,<img src='SS-214K.png'></img>,8f,Ground Gatling,The gap is +2f bigger when crouching <br> 
6H,<img src='6H.png'></img>,DI-214K,<img src='DI-214K.png'></img>,8f,Ground Gatling,The gap is +2f bigger when crouching <br> 
6H,<img src='6H.png'></img>,214S,<img src='214S.png'></img>,-2f,Ground Gatling,nan <br> 
6H,<img src='6H.png'></img>,SS-214S,<img src='SS-214S.png'></img>,-2f,Ground Gatling,nan <br> 
6H,<img src='6H.png'></img>,DI-214S,<img src='DI-214S.png'></img>,-2f,Ground Gatling,nan <br> 
6H,<img src='6H.png'></img>,632146H,<img src='632146H.png'></img>,-7f,Ground Gatling,nan <br> 
6H,<img src='6H.png'></img>,DI-632146H,<img src='DI-632146H.png'></img>,-7f,Ground Gatling,nan <br> 
6H,<img src='6H.png'></img>,j632146H,<img src='j632146H.png'></img>,20f,Ground Non-Jump Cancel,nan <br> 
6H,<img src='6H.png'></img>,236236P,<img src='236236P.png'></img>,-9f,Ground Gatling,nan <br> 
6H,<img src='6H.png'></img>,SS-236236P,<img src='SS-236236P.png'></img>,-9f,Ground Gatling,nan <br> 
6H,<img src='6H.png'></img>,DI-236236P,<img src='DI-236236P.png'></img>,-9f,Ground Gatling,nan <br> 
6H,<img src='6H.png'></img>,214214H,<img src='214214H.png'></img>,-4f,Ground Gatling,nan <br> 
jP,<img src='jP.png'></img>,5P,<img src='5P.png'></img>,-4f,Jump-in,nan <br> 
jP,<img src='jP.png'></img>,5K,<img src='5K.png'></img>,-2f,Jump-in,nan <br> 
jP,<img src='jP.png'></img>,cS,<img src='cS.png'></img>,-2f,Jump-in,nan <br> 
jP,<img src='jP.png'></img>,fS,<img src='fS.png'></img>,3f,Jump-in,nan <br> 
jP,<img src='jP.png'></img>,5H,<img src='5H.png'></img>,5f,Jump-in,nan <br> 
jP,<img src='jP.png'></img>,2P,<img src='2P.png'></img>,-4f,Jump-in,nan <br> 
jP,<img src='jP.png'></img>,2K,<img src='2K.png'></img>,-3f,Jump-in,nan <br> 
jP,<img src='jP.png'></img>,2S,<img src='2S.png'></img>,1f,Jump-in,nan <br> 
jP,<img src='jP.png'></img>,2H,<img src='2H.png'></img>,2f,Jump-in,nan <br> 
jP,<img src='jP.png'></img>,jP,<img src='jP.png'></img>,-3f,Air Gatling,nan <br> 
jP,<img src='jP.png'></img>,jK,<img src='jK.png'></img>,10f,Air Non-Gatling,nan <br> 
jP,<img src='jP.png'></img>,jS,<img src='jS.png'></img>,10f,Air Non-Gatling,nan <br> 
jP,<img src='jP.png'></img>,jH,<img src='jH.png'></img>,16f,Air Non-Gatling,nan <br> 
jP,<img src='jP.png'></img>,jD,<img src='jD.png'></img>,16f,Air Non-Gatling,nan <br> 
jP,<img src='jP.png'></img>,6P,<img src='6P.png'></img>,0f,Jump-in,nan <br> 
jP,<img src='jP.png'></img>,6K,<img src='6K.png'></img>,16f,Jump-in,nan <br> 
jP,<img src='jP.png'></img>,6H,<img src='6H.png'></img>,6f,Jump-in,nan <br> 
jP,<img src='jP.png'></img>,2D,<img src='2D.png'></img>,1f,Jump-in,nan <br> 
jP,<img src='jP.png'></img>,5D,<img src='5D.png'></img>,11f,Jump-in,nan <br> 
jP,<img src='jP.png'></img>,5[D],<img src='5[D].png'></img>,19f,Jump-in,nan <br> 
jP,<img src='jP.png'></img>,236S,<img src='236S.png'></img>,4f,Jump-in,nan <br> 
jP,<img src='jP.png'></img>,DI-236S,<img src='DI-236S.png'></img>,4f,Jump-in,nan <br> 
jP,<img src='jP.png'></img>,236H,<img src='236H.png'></img>,30f,Jump-in,nan <br> 
jP,<img src='jP.png'></img>,SS-236H,<img src='SS-236H.png'></img>,30f,Jump-in,nan <br> 
jP,<img src='jP.png'></img>,DI-236H,<img src='DI-236H.png'></img>,30f,Jump-in,nan <br> 
jP,<img src='jP.png'></img>,j236S,<img src='j236S.png'></img>,12f,Air Gatling,nan <br> 
jP,<img src='jP.png'></img>,j236H,<img src='j236H.png'></img>,12f,Air Gatling,nan <br> 
jP,<img src='jP.png'></img>,623S,<img src='623S.png'></img>,2f,Jump-in,nan <br> 
jP,<img src='jP.png'></img>,DI-623S,<img src='DI-623S.png'></img>,2f,Jump-in,nan <br> 
jP,<img src='jP.png'></img>,623H,<img src='623H.png'></img>,4f,Jump-in,nan <br> 
jP,<img src='jP.png'></img>,DI-623H,<img src='DI-623H.png'></img>,4f,Jump-in,nan <br> 
jP,<img src='jP.png'></img>,j623S,<img src='j623S.png'></img>,2f,Air Gatling,nan <br> 
jP,<img src='jP.png'></img>,j623H,<img src='j623H.png'></img>,4f,Air Gatling,nan <br> 
jP,<img src='jP.png'></img>,236K,<img src='236K.png'></img>,-4f,Jump-in,nan <br> 
jP,<img src='jP.png'></img>,SS-236K,<img src='SS-236K.png'></img>,-4f,Jump-in,nan <br> 
jP,<img src='jP.png'></img>,DI-236K,<img src='DI-236K.png'></img>,-4f,Jump-in,nan <br> 
jP,<img src='jP.png'></img>,214K,<img src='214K.png'></img>,15f,Jump-in,The gap is +2f bigger when crouching <br> 
jP,<img src='jP.png'></img>,SS-214K,<img src='SS-214K.png'></img>,15f,Jump-in,The gap is +2f bigger when crouching <br> 
jP,<img src='jP.png'></img>,DI-214K,<img src='DI-214K.png'></img>,15f,Jump-in,The gap is +2f bigger when crouching <br> 
jP,<img src='jP.png'></img>,214S,<img src='214S.png'></img>,5f,Jump-in,nan <br> 
jP,<img src='jP.png'></img>,SS-214S,<img src='SS-214S.png'></img>,5f,Jump-in,nan <br> 
jP,<img src='jP.png'></img>,DI-214S,<img src='DI-214S.png'></img>,5f,Jump-in,nan <br> 
jP,<img src='jP.png'></img>,632146H,<img src='632146H.png'></img>,0f,Jump-in,nan <br> 
jP,<img src='jP.png'></img>,DI-632146H,<img src='DI-632146H.png'></img>,0f,Jump-in,nan <br> 
jP,<img src='jP.png'></img>,j632146H,<img src='j632146H.png'></img>,0f,Air Gatling,nan <br> 
jP,<img src='jP.png'></img>,236236P,<img src='236236P.png'></img>,-2f,Jump-in,nan <br> 
jP,<img src='jP.png'></img>,SS-236236P,<img src='SS-236236P.png'></img>,-2f,Jump-in,nan <br> 
jP,<img src='jP.png'></img>,DI-236236P,<img src='DI-236236P.png'></img>,-2f,Jump-in,nan <br> 
jP,<img src='jP.png'></img>,214214H,<img src='214214H.png'></img>,3f,Jump-in,nan <br> 
jK,<img src='jK.png'></img>,5P,<img src='5P.png'></img>,-6f,Jump-in,nan <br> 
jK,<img src='jK.png'></img>,5K,<img src='5K.png'></img>,-4f,Jump-in,nan <br> 
jK,<img src='jK.png'></img>,cS,<img src='cS.png'></img>,-4f,Jump-in,nan <br> 
jK,<img src='jK.png'></img>,fS,<img src='fS.png'></img>,1f,Jump-in,nan <br> 
jK,<img src='jK.png'></img>,5H,<img src='5H.png'></img>,3f,Jump-in,nan <br> 
jK,<img src='jK.png'></img>,2P,<img src='2P.png'></img>,-6f,Jump-in,nan <br> 
jK,<img src='jK.png'></img>,2K,<img src='2K.png'></img>,-5f,Jump-in,nan <br> 
jK,<img src='jK.png'></img>,2S,<img src='2S.png'></img>,-1f,Jump-in,nan <br> 
jK,<img src='jK.png'></img>,2H,<img src='2H.png'></img>,0f,Jump-in,nan <br> 
jK,<img src='jK.png'></img>,jP,<img src='jP.png'></img>,7f,Air Non-Gatling,nan <br> 
jK,<img src='jK.png'></img>,jK,<img src='jK.png'></img>,8f,Air Non-Gatling,nan <br> 
jK,<img src='jK.png'></img>,jS,<img src='jS.png'></img>,8f,Air Non-Gatling,nan <br> 
jK,<img src='jK.png'></img>,jH,<img src='jH.png'></img>,14f,Air Non-Gatling,nan <br> 
jK,<img src='jK.png'></img>,jD,<img src='jD.png'></img>,2f,Air Gatling,nan <br> 
jK,<img src='jK.png'></img>,6P,<img src='6P.png'></img>,-2f,Jump-in,nan <br> 
jK,<img src='jK.png'></img>,6K,<img src='6K.png'></img>,14f,Jump-in,nan <br> 
jK,<img src='jK.png'></img>,6H,<img src='6H.png'></img>,4f,Jump-in,nan <br> 
jK,<img src='jK.png'></img>,2D,<img src='2D.png'></img>,-1f,Jump-in,nan <br> 
jK,<img src='jK.png'></img>,5D,<img src='5D.png'></img>,9f,Jump-in,nan <br> 
jK,<img src='jK.png'></img>,5[D],<img src='5[D].png'></img>,17f,Jump-in,nan <br> 
jK,<img src='jK.png'></img>,236S,<img src='236S.png'></img>,2f,Jump-in,nan <br> 
jK,<img src='jK.png'></img>,DI-236S,<img src='DI-236S.png'></img>,2f,Jump-in,nan <br> 
jK,<img src='jK.png'></img>,236H,<img src='236H.png'></img>,28f,Jump-in,nan <br> 
jK,<img src='jK.png'></img>,SS-236H,<img src='SS-236H.png'></img>,28f,Jump-in,nan <br> 
jK,<img src='jK.png'></img>,DI-236H,<img src='DI-236H.png'></img>,28f,Jump-in,nan <br> 
jK,<img src='jK.png'></img>,j236S,<img src='j236S.png'></img>,10f,Air Gatling,nan <br> 
jK,<img src='jK.png'></img>,j236H,<img src='j236H.png'></img>,10f,Air Gatling,nan <br> 
jK,<img src='jK.png'></img>,623S,<img src='623S.png'></img>,0f,Jump-in,nan <br> 
jK,<img src='jK.png'></img>,DI-623S,<img src='DI-623S.png'></img>,0f,Jump-in,nan <br> 
jK,<img src='jK.png'></img>,623H,<img src='623H.png'></img>,2f,Jump-in,nan <br> 
jK,<img src='jK.png'></img>,DI-623H,<img src='DI-623H.png'></img>,2f,Jump-in,nan <br> 
jK,<img src='jK.png'></img>,j623S,<img src='j623S.png'></img>,0f,Air Gatling,nan <br> 
jK,<img src='jK.png'></img>,j623H,<img src='j623H.png'></img>,2f,Air Gatling,nan <br> 
jK,<img src='jK.png'></img>,236K,<img src='236K.png'></img>,-6f,Jump-in,nan <br> 
jK,<img src='jK.png'></img>,SS-236K,<img src='SS-236K.png'></img>,-6f,Jump-in,nan <br> 
jK,<img src='jK.png'></img>,DI-236K,<img src='DI-236K.png'></img>,-6f,Jump-in,nan <br> 
jK,<img src='jK.png'></img>,214K,<img src='214K.png'></img>,13f,Jump-in,The gap is +2f bigger when crouching <br> 
jK,<img src='jK.png'></img>,SS-214K,<img src='SS-214K.png'></img>,13f,Jump-in,The gap is +2f bigger when crouching <br> 
jK,<img src='jK.png'></img>,DI-214K,<img src='DI-214K.png'></img>,13f,Jump-in,The gap is +2f bigger when crouching <br> 
jK,<img src='jK.png'></img>,214S,<img src='214S.png'></img>,3f,Jump-in,nan <br> 
jK,<img src='jK.png'></img>,SS-214S,<img src='SS-214S.png'></img>,3f,Jump-in,nan <br> 
jK,<img src='jK.png'></img>,DI-214S,<img src='DI-214S.png'></img>,3f,Jump-in,nan <br> 
jK,<img src='jK.png'></img>,632146H,<img src='632146H.png'></img>,-2f,Jump-in,nan <br> 
jK,<img src='jK.png'></img>,DI-632146H,<img src='DI-632146H.png'></img>,-2f,Jump-in,nan <br> 
jK,<img src='jK.png'></img>,j632146H,<img src='j632146H.png'></img>,-2f,Air Gatling,nan <br> 
jK,<img src='jK.png'></img>,236236P,<img src='236236P.png'></img>,-4f,Jump-in,nan <br> 
jK,<img src='jK.png'></img>,SS-236236P,<img src='SS-236236P.png'></img>,-4f,Jump-in,nan <br> 
jK,<img src='jK.png'></img>,DI-236236P,<img src='DI-236236P.png'></img>,-4f,Jump-in,nan <br> 
jK,<img src='jK.png'></img>,214214H,<img src='214214H.png'></img>,1f,Jump-in,nan <br> 
jS,<img src='jS.png'></img>,5P,<img src='5P.png'></img>,-8f,Jump-in,nan <br> 
jS,<img src='jS.png'></img>,5K,<img src='5K.png'></img>,-6f,Jump-in,nan <br> 
jS,<img src='jS.png'></img>,cS,<img src='cS.png'></img>,-6f,Jump-in,nan <br> 
jS,<img src='jS.png'></img>,fS,<img src='fS.png'></img>,-1f,Jump-in,nan <br> 
jS,<img src='jS.png'></img>,5H,<img src='5H.png'></img>,1f,Jump-in,nan <br> 
jS,<img src='jS.png'></img>,2P,<img src='2P.png'></img>,-8f,Jump-in,nan <br> 
jS,<img src='jS.png'></img>,2K,<img src='2K.png'></img>,-7f,Jump-in,nan <br> 
jS,<img src='jS.png'></img>,2S,<img src='2S.png'></img>,-3f,Jump-in,nan <br> 
jS,<img src='jS.png'></img>,2H,<img src='2H.png'></img>,-2f,Jump-in,nan <br> 
jS,<img src='jS.png'></img>,jP,<img src='jP.png'></img>,17f,Air Non-Gatling,nan <br> 
jS,<img src='jS.png'></img>,jK,<img src='jK.png'></img>,18f,Air Non-Gatling,nan <br> 
jS,<img src='jS.png'></img>,jS,<img src='jS.png'></img>,18f,Air Non-Gatling,nan <br> 
jS,<img src='jS.png'></img>,jH,<img src='jH.png'></img>,0f,Air Gatling,nan <br> 
jS,<img src='jS.png'></img>,jD,<img src='jD.png'></img>,0f,Air Gatling,nan <br> 
jS,<img src='jS.png'></img>,6P,<img src='6P.png'></img>,-4f,Jump-in,nan <br> 
jS,<img src='jS.png'></img>,6K,<img src='6K.png'></img>,12f,Jump-in,nan <br> 
jS,<img src='jS.png'></img>,6H,<img src='6H.png'></img>,2f,Jump-in,nan <br> 
jS,<img src='jS.png'></img>,2D,<img src='2D.png'></img>,-3f,Jump-in,nan <br> 
jS,<img src='jS.png'></img>,5D,<img src='5D.png'></img>,7f,Jump-in,nan <br> 
jS,<img src='jS.png'></img>,5[D],<img src='5[D].png'></img>,15f,Jump-in,nan <br> 
jS,<img src='jS.png'></img>,236S,<img src='236S.png'></img>,0f,Jump-in,nan <br> 
jS,<img src='jS.png'></img>,DI-236S,<img src='DI-236S.png'></img>,0f,Jump-in,nan <br> 
jS,<img src='jS.png'></img>,236H,<img src='236H.png'></img>,26f,Jump-in,nan <br> 
jS,<img src='jS.png'></img>,SS-236H,<img src='SS-236H.png'></img>,26f,Jump-in,nan <br> 
jS,<img src='jS.png'></img>,DI-236H,<img src='DI-236H.png'></img>,26f,Jump-in,nan <br> 
jS,<img src='jS.png'></img>,j236S,<img src='j236S.png'></img>,8f,Air Gatling,nan <br> 
jS,<img src='jS.png'></img>,j236H,<img src='j236H.png'></img>,8f,Air Gatling,nan <br> 
jS,<img src='jS.png'></img>,623S,<img src='623S.png'></img>,-2f,Jump-in,nan <br> 
jS,<img src='jS.png'></img>,DI-623S,<img src='DI-623S.png'></img>,-2f,Jump-in,nan <br> 
jS,<img src='jS.png'></img>,623H,<img src='623H.png'></img>,0f,Jump-in,nan <br> 
jS,<img src='jS.png'></img>,DI-623H,<img src='DI-623H.png'></img>,0f,Jump-in,nan <br> 
jS,<img src='jS.png'></img>,j623S,<img src='j623S.png'></img>,-2f,Air Gatling,nan <br> 
jS,<img src='jS.png'></img>,j623H,<img src='j623H.png'></img>,0f,Air Gatling,nan <br> 
jS,<img src='jS.png'></img>,236K,<img src='236K.png'></img>,-8f,Jump-in,nan <br> 
